Model,RMSE,MAE,MAPE (%),R2,Accuracy (+-25pct)
Student_ModelA,24.339922447929407,18.930154089605534,89.57732649649914,-2.025976398734833,0.0
Student_ModelB,24.302347345604726,18.723093279282526,87.6258853362933,-2.0166408218446565,0.0
ChatGPT_ModelA,24.31150840628823,18.90342677327287,91.59562228663842,-2.0189155682324715,0.0
ChatGPT_ModelB,24.339658907408083,19.00699089843234,92.7727801567576,-2.025910871567928,0.0
Claude_ModelA,24.25976337123914,18.497806239547405,75.82080772275029,-2.0060782201662217,0.0
Claude_ModelB,24.150881416567277,18.08121001045585,72.4623353784603,-1.9791551903585374,0.0
Gemini_ModelA,25.35098602135902,20.954990259930987,104.51721185614117,-2.282591704844939,0.0
Gemini_ModelB,24.71168433714637,19.96963840452751,100.93096357374553,-2.11911833473878,0.0
LinearRegression,8.6746435099319,6.920687949345881,39.8297269897303,0.6156468643125461,40.0
DecisionTree,10.192595010867228,7.371666666666664,72.69727836071638,0.46936402142839295,40.0
